No.;Cement;Silicafume;Flyash;Sand;SteelFiber;QuartzPowder;Water;Admixture;a/c;fc
59;1.4;0.747384155;0;0;1;0.973333333;0.568011958;0.189189189;0.180952381;175
60;0.876;0.323413507;0;0.55374078;0.334042553;0.557333333;0.553064275;1;0.281582953;150.56
61;0.876;0.323413507;0;0.55374078;0;0.557333333;0.553064275;1;0.281582953;121.32
62;1.084;0.552520723;0;0.609589041;0;0.271066667;0.478624813;0.158378378;0.196924969;204
63;1.033333333;0.52724555;0;0.642781876;0;0;0.493273543;0.054054054;0.212903226;170
64;1.126666667;0.206821579;0;0;0.026808511;0;0.5245142;0;0.207633136;188
65;1.086666667;0.177197989;0;0;0.017340426;0;0.487294469;0;0.2;194
66;0.594666667;0.088598994;0;0.968387777;0;0;0.376681614;0.04;0.282511211;162
67;0.590666667;0;1;0.904636459;0;0;0.68161435;0.002162162;0.514672686;171
68;0.6;0;0;0.948366702;0;0;0.376681614;0.075675676;0.28;175
69;0.576;0.080717489;0.294642857;0.861959958;0;0;0.478923767;0.042702703;0.370833333;178
70;0.544;0.105992662;0;0.800842993;0;0;0.568011958;0.03027027;0.465686275;178
71;0.541333333;0.110341079;0;0.820864067;0;0;0.553064275;0.023243243;0.455665025;180
72;1.2;0.366897676;0;0.681559536;0;0;0.753363229;0;0.28;185
73;0.510666667;0.183448838;0;0.948366702;0;0;0.373692078;0.075675676;0.326370757;187
74;1.033333333;0.316075554;0;0.683350896;0;0;0.625710015;0;0.270064516;192
75;1.2;0.366897676;0;0.626448894;0;0;0.753363229;0;0.28;195
76;0.549333333;0.111428183;0;1;0;0;0.379671151;0.07027027;0.308252427;198
77;0.733333333;0;0;0.844573235;0;0;0.45142003;0.113513514;0.274545455;199
78;0.530666667;0;0.412946429;0.913909378;0;0;0.43348281;0.039459459;0.364321608;100
79;0.949333333;0.627802691;0;0.64857745;0;0;0.325859492;0.165945946;0.153089888;101
80;1.048;0.695746705;0;0.712855638;0;0;0.568011958;0.178378378;0.24173028;103
81;0.885333333;0.385922;0.316964286;0.64857745;0;0;0.430493274;0.302702703;0.21686747;104
82;1.045333333;0.695746705;0;0.712855638;0;0;0.568011958;0.194594595;0.242346939;110
83;0.56;0.163065634;0.267857143;0.869336143;0;0;0.412556054;0.048648649;0.328571429;110
84;1.048;0.695746705;0;0.714436249;0.121914894;0;0.678624813;0.178378378;0.288804071;112
85;1.2;0.428047289;0;0.542676502;0;0;0.618834081;0;0.23;114
86;1.2;0.428047289;0;0.542307692;0.003914894;0;0.64573991;0;0.24;115
87;1.2;0.428047289;0;0.541622761;0.00587234;0;0.64573991;0;0.24;116
88;0.974666667;0.649544775;0;0.712855638;0;0;0.568011958;0.167567568;0.259917921;120
89;1.045333333;0.695746705;0;0.660168599;0;0;0.568011958;0.178378378;0.242346939;123
90;1.066666667;0.709335508;0;0.727608008;0.129148936;0;0.738415546;0.183783784;0.30875;124
91;1.2;0.428047289;0;0.536195996;0.025319149;0;0.64573991;0;0.24;130
92;0.949333333;0.627802691;0;0.64857745;0.098723404;0;0.338415546;0.172972973;0.158988764;132
93;1.045333333;0.695746705;0;0.712855638;0;0;0.568011958;0.178378378;0.242346939;134
94;1.066666667;0.709335508;0;0.727608008;0.129148936;0;0.738415546;0.183783784;0.30875;138
95;0.946666667;0.62508493;0;0.64857745;0.101914894;0;0.448430493;0.072432432;0.211267606;138
96;1.386666667;0.842505775;0;0.421496312;0;0;0.717488789;0.112432432;0.230769231;140
97;1.222666667;0.622910722;0;0.760273973;0.118723404;0;0.603886398;0;0.220283533;145
98;1.045333333;0.695746705;0;0.712855638;0.121276596;0;0.568011958;0.178378378;0.242346939;149
99;1.377333333;0.701182226;0;0.598893572;0;0;0.463378176;0.089189189;0.150048403;150
100;1.222666667;0.622910722;0;0.760273973;0.237446809;0;0.603886398;0;0.220283533;153
101;1.048;0.695746705;0;0.714436249;0.123829787;0;0.678624813;0.178378378;0.288804071;154
102;1.053333333;0.538116592;0.428571429;0.601159115;0.079574468;0;0.421524664;0.153513514;0.178481013;155
103;0.886666667;0.543552113;0;0.536880927;0;0.38;0.532137519;0.135135135;0.267669173;155
104;0.812;0.497350183;0;0.7028451;0;0.350666667;0.487294469;0.113513514;0.267651888;155
105;1.2;0.597907324;0;0.529504742;0.099361702;0;0.484304933;0.216216216;0.18;160
106;1.386666667;0.842505775;0;0.421496312;0.102553191;0;0.717488789;0.112432432;0.230769231;165
107;1.222666667;0.622367169;0;0.760273973;0.356382979;0;0.603886398;0;0.220283533;165
108;1.4;0.747384155;0;0.384615385;0.292553191;0;0.568011958;0.189189189;0.180952381;169
109;1.033333333;0.52724555;0;0.642781876;0.050212766;0;0.493273543;0.054054054;0.212903226;178
110;1.278666667;0.651718984;0;0.555848261;0.111276596;0;0.487294469;0.081081081;0.169968717;200
